"GLORIA_ID" "TSS" "Latitude" "Longitude" "x440" "x490" "x560" "x660" "x850" "nir_red"
"GID_1" 2.67 58.49994 27.28475 0.00115653169190687 0.00157433475590421 0.00312013658582348 0.00260738448189885 0.000335677181044864 0.228114269756151
"GID_10" 8.33 58.44412 27.28849 0.00256320917597437 0.00324405317366664 0.00552796256963852 0.00514853079781708 0.00176711407813426 0.511048242016959
"GID_100" 7.33 58.78147 27.33255 0.00114753331856255 0.00151298751770666 0.00230517527294636 0.00215192863513598 0.000981602491115138 0.626515232538637
"GID_101" 9.25 58.36707 24.46216 0.00194775262634087 0.00319154336193589 0.00794862929075555 0.0072579999987776 0.000872522710172342 0.214628933810586
"GID_102" 6.75 58.33945 24.41657 0.00386496217143548 0.00595535395754228 0.0109461417213777 0.00762329024286932 0.000788620110381726 0.187500835663789
"GID_103" 8.5 58.305 24.35394 0.00378709591052473 0.00581579088651787 0.0106761719068153 0.00700914287086171 0.0008668800994145 0.220131429958005
"GID_104" 8.75 58.25143 24.44607 0.0039900651435093 0.0064189339352149 0.0126379621548607 0.00902122841676436 0.000775835832162368 0.15838128901673
"GID_105" 8.5 58.26721 24.31929 0.00290690523836539 0.00469589208164236 0.00904675010310556 0.00585475629653938 0.000623938129327743 0.192612303749527
"GID_106" 7.25 58.21943 24.30752 0.00269466921979095 0.00431835751107086 0.00838361350832995 0.00540349135683772 0.000519222092529766 0.175332504929887
"GID_107" 4.25 58.06697 23.95081 0.00187164170230718 0.00286794260527419 0.00548172175106831 0.00335904675253823 0.000413543232954704 0.219235715805289
"GID_108" 2 57.94212 27.34747 0.00182061881431819 0.00228466406558401 0.00296533870476527 0.00210193676617045 0.00126384285768964 0.750995608108282
"GID_1086" 6.5 43.1223 12.1344 0.0154578397419199 0.0205575168645757 0.0287213595771853 0.0138659576156461 0 0
"GID_1087" 4.69999999999826 43.1111 12.1239 0.0162688689953001 0.0215143657667755 0.0291046858766479 0.0129918549152405 0 0
"GID_1088" 6.62500000000066 43.1358 12.1031 0.0156243703644654 0.0208626076974466 0.0309361685240695 0.0175253184263796 0 0
"GID_1089" 3.99999999999906 43.1481 12.1278 0.0115702183254478 0.0154623042177893 0.0222536325056884 0.00920736613220214 0 0
"GID_1090" 4.59999999999927 43.1611 12.1413 0.0112049087653261 0.0153068524569949 0.0214128140117132 0.00871989422974912 0 0
"GID_1091" 8.2 43.1223 12.1344 0.0150466944494337 0.0204164341614975 0.0288065344500438 0.0132724076394576 0 0
"GID_1098" 5.14 45.671873 10.044059 0.0108417431918537 0.0152005577068669 0.0258109336349935 0.00674750945047748 0 0
"GID_1099" 5.87500000000128 45.723006 10.066352 0.0109183086665494 0.0148765557581783 0.0252555765665041 0.00659271341709235 0 0
"GID_11" 3.33 58.47593 27.35226 0.00140760270205872 0.00190387463590463 0.00351652299273238 0.00293197919207231 0.000587520499618355 0.333865919071087
"GID_110" 4 57.72892 26.92078 0.00202757209752126 0.00237329798881655 0.00346730364438343 0.00252882624929025 0.00111337405017357 0.611374421301031
"GID_1100" 4.25 45.766696 10.056288 0.0101539332726168 0.0151186656820277 0.0269401107637425 0.0064619261683339 0 0
"GID_1101" 3.87500000000025 45.806965 10.083335 0.0110361334234327 0.0149534340480986 0.0259459540766767 0.00713828329163508 0 0
"GID_1105" 1.25 45.976019 8.634333 0.00336210465407678 0.0043381588017424 0.00533070356798621 0.00126256819194668 0 0
"GID_1106" 1.6 45.976019 8.634333 0.00295240722448683 0.00395814955829217 0.00492107178467244 0.000565804800556167 0 0
"GID_1107" 1.72 45.976019 8.634333 0.0035507295604762 0.0044179377914522 0.00506350941214983 0.00156546963676333 0 0
"GID_1108" 1.55 45.976019 8.634333 0.00499120149144578 0.0060921574957301 0.00718642924925777 0.0026957296431882 0 0
"GID_1109" 3.74999999999999 43.12235 12.13445 0.00687793979061407 0.0104425899283179 0.0168723287479 0.00567266410595798 0 0
"GID_111" 4.25 58.08791 26.64279 0.00360273473478842 0.00406765232903866 0.00562520380660784 0.00445927313800093 0.00249596232670866 0.717721877101935
"GID_1110" 3 43.140015 12.130005 0.00396912131021747 0.00667994950719475 0.0120976800098893 0.00158137520025348 0 0
"GID_1111" 5.87499999999999 43.120087 12.092132 0.00959640796779806 0.0142866333550408 0.0236867477755759 0.0107111607707087 0 0
"GID_1114" 9.833333333 45.16969444 10.78477778 0.00133156677466381 0.0017696040916765 0.00410780087198761 0.00216355221845449 0 0
"GID_1116" 14.8 45.16086944 10.80893333 0.00255989098260003 0.00364137701886468 0.00738751131401176 0.00425892021155158 0 0
"GID_1117" 16.4 45.16086944 10.80893333 0.00249091271923939 0.00359400519187976 0.00737819050317114 0.00422270972245515 0 0
"GID_1118" 14 45.16924722 10.78131111 0.00373934726552831 0.00424161663539013 0.00931195311860699 0.00432825989869806 0 0
"GID_1119" 7.666666667 45.16478889 10.78213056 0.00467530076438148 0.00578957561178584 0.0120611671142282 0.00630635438529243 0 0
"GID_112" 5.25 58.19748 26.57209 0.00213006876222547 0.0029632806532528 0.00560157024991745 0.0033679219702339 0.000713008919103197 0.349434449363595
"GID_1120" 11 45.16345278 10.77906389 0.00438342426404577 0.00541844607512029 0.011754666214427 0.00583114769559757 0 0
"GID_1121" 50 45.15983611 10.765525 0.00342522132835429 0.003973438606491 0.0110362023339366 0.00463734995432685 0 0
"GID_1122" 29.66666667 45.16126944 10.75425278 0.00237547037339411 0.00297782561352815 0.010609898643659 0.00387133581067761 0 0
