GLORIA_ID,Chl_mean,Chl_std,Chl_N,Chl_N_type,Chl_plus_phaeo_mean,Chl_plus_phaeo_std,Chl_plus_phaeo_N,Chl_plus_phaeo_N_type,TSS_mean,TSS_std,TSS_N,TSS_N_type,aCDOM_mean,aCDOM_std,aCDOM_N,aCDOM_N_type
GID_53,NaN,NaN,NaN,,NaN,NaN,NaN,,NaN,NaN,NaN,,NaN,NaN,NaN,
GID_54,NaN,NaN,NaN,,34.72,0.370000000000001,2,lab,NaN,NaN,NaN,,NaN,NaN,NaN,
GID_55,NaN,NaN,NaN,,34.82,0.425000000000001,2,lab,NaN,NaN,NaN,,NaN,NaN,NaN,
GID_56,NaN,NaN,NaN,,NaN,NaN,NaN,,NaN,NaN,NaN,,NaN,NaN,NaN,
GID_57,NaN,NaN,NaN,,37.24,0.0650000000000013,2,lab,NaN,NaN,NaN,,NaN,NaN,NaN,
GID_58,NaN,NaN,NaN,,15.69,0.85,2,lab,NaN,NaN,NaN,,NaN,NaN,NaN,
GID_59,NaN,NaN,NaN,,10.3,0.04,2,lab,NaN,NaN,NaN,,NaN,NaN,NaN,
GID_60,NaN,NaN,NaN,,13.82,0,2,lab,NaN,NaN,NaN,,NaN,NaN,NaN,
GID_61,NaN,NaN,NaN,,9.2,0.04,2,lab,NaN,NaN,NaN,,NaN,NaN,NaN,
GID_62,NaN,NaN,NaN,,13.99,0.255,2,lab,NaN,NaN,NaN,,NaN,NaN,NaN,
GID_63,NaN,NaN,NaN,,10.6,0.26,2,lab,NaN,NaN,NaN,,NaN,NaN,NaN,
GID_64,NaN,NaN,NaN,,39.06,0.370000000000001,2,lab,NaN,NaN,NaN,,NaN,NaN,NaN,
GID_65,NaN,NaN,NaN,,31.9,1.06,2,lab,NaN,NaN,NaN,,NaN,NaN,NaN,
GID_66,NaN,NaN,NaN,,36.1,0.370000000000001,2,lab,NaN,NaN,NaN,,NaN,NaN,NaN,
GID_67,NaN,NaN,NaN,,35.5,0.324999999999999,2,lab,NaN,NaN,NaN,,NaN,NaN,NaN,
GID_68,NaN,NaN,NaN,,30.05,0.69,2,lab,NaN,NaN,NaN,,NaN,NaN,NaN,
GID_69,NaN,NaN,NaN,,NaN,NaN,NaN,,NaN,NaN,NaN,,NaN,NaN,NaN,
GID_70,NaN,NaN,NaN,,NaN,NaN,NaN,,NaN,NaN,NaN,,NaN,NaN,NaN,
GID_71,NaN,NaN,NaN,,NaN,NaN,NaN,,NaN,NaN,NaN,,NaN,NaN,NaN,
GID_72,NaN,NaN,NaN,,71.75,0,2,lab,NaN,NaN,NaN,,NaN,NaN,NaN,
GID_73,NaN,NaN,NaN,,28.21,0.0549999999999997,2,lab,NaN,NaN,NaN,,NaN,NaN,NaN,
GID_74,NaN,NaN,NaN,,14.98,0.28,2,lab,NaN,NaN,NaN,,NaN,NaN,NaN,
GID_75,NaN,NaN,NaN,,13.59,0.444999999999999,2,lab,NaN,NaN,NaN,,NaN,NaN,NaN,
GID_76,NaN,NaN,NaN,,22.05,0.26,2,lab,NaN,NaN,NaN,,NaN,NaN,NaN,
GID_77,NaN,NaN,NaN,,9.54,0.295,2,lab,NaN,NaN,NaN,,NaN,NaN,NaN,
GID_78,NaN,NaN,NaN,,26.29,0,2,lab,NaN,NaN,NaN,,NaN,NaN,NaN,
GID_79,NaN,NaN,NaN,,28.54,1.145,2,lab,NaN,NaN,NaN,,NaN,NaN,NaN,
GID_81,NaN,NaN,NaN,,21.24,0.0400000000000009,2,lab,NaN,NaN,NaN,,NaN,NaN,NaN,
GID_82,NaN,NaN,NaN,,31.05,0.255000000000001,2,lab,NaN,NaN,NaN,,NaN,NaN,NaN,
GID_83,NaN,NaN,NaN,,15.22,0.3,2,lab,NaN,NaN,NaN,,NaN,NaN,NaN,
GID_84,NaN,NaN,NaN,,21.2,0,2,lab,NaN,NaN,NaN,,NaN,NaN,NaN,
GID_85,NaN,NaN,NaN,,15.18,0.255,2,lab,NaN,NaN,NaN,,NaN,NaN,NaN,
GID_86,NaN,NaN,NaN,,20.53,0.00500000000000078,2,lab,NaN,NaN,NaN,,NaN,NaN,NaN,
GID_87,NaN,NaN,NaN,,25.48,0.890000000000001,2,lab,NaN,NaN,NaN,,NaN,NaN,NaN,
GID_88,NaN,NaN,NaN,,24.81,0.215,2,lab,NaN,NaN,NaN,,NaN,NaN,NaN,
GID_89,NaN,NaN,NaN,,34.29,0.689999999999998,2,lab,NaN,NaN,NaN,,NaN,NaN,NaN,
GID_90,NaN,NaN,NaN,,35.36,0.375,2,lab,NaN,NaN,NaN,,NaN,NaN,NaN,
GID_91,NaN,NaN,NaN,,55.25,0.409999999999997,2,lab,NaN,NaN,NaN,,NaN,NaN,NaN,
GID_92,NaN,NaN,NaN,,60.07,0,2,lab,NaN,NaN,NaN,,NaN,NaN,NaN,
GID_93,NaN,NaN,NaN,,9.3,0.2,2,lab,NaN,NaN,NaN,,NaN,NaN,NaN,
GID_94,NaN,NaN,NaN,,8.85,0.085,2,lab,NaN,NaN,NaN,,NaN,NaN,NaN,
GID_95,NaN,NaN,NaN,,3.8,0.785,2,lab,NaN,NaN,NaN,,NaN,NaN,NaN,
GID_96,NaN,NaN,NaN,,30.6,2.89,2,lab,NaN,NaN,NaN,,NaN,NaN,NaN,
GID_97,NaN,NaN,NaN,,44.32,0.359999999999999,2,lab,NaN,NaN,NaN,,NaN,NaN,NaN,
GID_98,NaN,NaN,NaN,,12.04,1.19,2,lab,NaN,NaN,NaN,,NaN,NaN,NaN,
GID_99,NaN,NaN,NaN,,18.36,0.0399999999999991,2,lab,NaN,NaN,NaN,,NaN,NaN,NaN,
GID_100,NaN,NaN,NaN,,23.74,0.85,2,lab,NaN,NaN,NaN,,NaN,NaN,NaN,
GID_101,NaN,NaN,NaN,,27.02,0.809999999999999,2,lab,NaN,NaN,NaN,,NaN,NaN,NaN,
GID_102,NaN,NaN,NaN,,6.28,0,2,lab,NaN,NaN,NaN,,NaN,NaN,NaN,
GID_103,NaN,NaN,NaN,,5.72,0.0349999999999997,2,lab,NaN,NaN,NaN,,NaN,NaN,NaN,
GID_104,NaN,NaN,NaN,,7.17,0.295,2,lab,NaN,NaN,NaN,,NaN,NaN,NaN,
GID_105,NaN,NaN,NaN,,6.53,0.255,2,lab,NaN,NaN,NaN,,NaN,NaN,NaN,
GID_106,NaN,NaN,NaN,,8.27,0.295,2,lab,NaN,NaN,NaN,,NaN,NaN,NaN,
GID_107,NaN,NaN,NaN,,7.34,0.47,2,lab,NaN,NaN,NaN,,NaN,NaN,NaN,
